Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
442250,1,0.66,-0.92,44
442450,1,0.57,-0.54,54
442650,1,0.53,-0.34,49
442850,1,0.52,-0.22,57
443050,1,0.56,-0.12,43
443250,1,0.56,-0.09,42
443450,1,1.31,-3.83,72
443650,1,0.93,-3.79,89
443850,1,0.57,-3.74,52
692850,1,0.59,0.0,66
693050,1,0.62,0.01,51
693250,1,0.65,0.01,50
693450,1,0.67,0.02,41
693650,1,0.69,0.02,40
693850,1,0.7,0.02,40
694050,1,1.6,-3.81,40
694250,1,1.33,-3.74,40
694450,1,2.19,-3.69,40
694650,1,1.6,-3.76,40
694850,1,1.31,-3.73,40
695050,1,0.73,-3.7,61
695250,1,0.57,-3.58,40
695450,1,0.28,-3.51,40
695650,1,1.52,-3.84,41
695850,1,1.0,-2.5,41
696050,1,0.8,-2.82,40
696250,1,0.76,-3.11,40
696450,1,0.45,-3.14,40
696650,1,0.26,-3.22,52
696850,1,2.21,-3.84,40
697050,1,1.65,-3.83,40
697250,1,1.29,-3.78,45
697450,1,1.07,-3.69,40
697650,1,0.7,-3.64,40
697850,1,0.43,-3.55,40
698050,1,1.15,0.09,70
698250,1,1.87,1.2,40
698450,1,1.17,0.99,49
698650,1,1.05,0.52,60
698850,1,1.06,0.41,51
699050,1,0.99,0.06,62
699250,1,0.92,0.08,60
699450,1,0.84,0.1,88
699650,1,0.77,0.24,98
699850,1,0.78,0.16,62
700050,1,0.79,0.09,44
700250,1,0.85,-0.56,41
700450,1,0.8,-0.37,45
700650,1,0.66,-0.94,40
700850,1,0.46,-1.44,40
701050,1,0.33,-2.09,40
701250,1,0.92,0.09,77
701450,1,1.52,-3.84,81
701650,1,1.12,-3.8,40
701850,1,0.96,-3.7,90
702050,1,0.83,-3.64,40
702250,1,0.7,-3.57,40
702450,1,0.48,-3.51,82
702650,1,0.29,-3.42,40
702850,1,2.23,-3.84,40
703050,1,1.74,-3.82,40
703250,1,1.39,-3.77,40
703450,1,1.02,-3.71,40
703650,1,0.7,-3.62,40
703850,1,0.34,-3.57,49
704050,1,2.23,-3.84,40
704250,1,1.82,-3.82,40
704450,1,1.32,-2.9,40
704650,1,1.06,-2.54,40
704850,1,1.0,0.01,91
705050,1,0.93,0.1,87
705250,1,0.86,0.08,86
705450,1,0.8,-0.11,44
705650,1,0.95,-1.96,50
705850,1,0.78,-1.22,42
706050,1,0.73,-0.64,41
706250,1,0.8,0.02,85
706450,1,0.86,0.05,85
706650,1,0.93,0.03,68
706850,1,1.0,0.01,42
707050,1,0.88,0.07,85
707250,1,0.75,0.02,45
707450,1,1.5,0.09,41
707650,1,1.76,0.1,41
707850,1,1.62,-0.71,40
708050,1,1.39,-1.07,40
708250,1,1.14,-1.54,40
708450,1,0.82,-2.26,40
