Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
722650,1,0.6,-3.53,100
722850,1,0.33,-3.48,53
723050,1,2.07,-3.84,130
723250,1,1.5,-3.82,130
723450,1,1.09,-3.77,89
723650,1,0.79,-3.68,113
723850,1,0.36,-3.64,45
724050,1,2.47,-3.84,106
724250,1,2.02,-3.81,146
724450,1,1.27,-1.86,2257
724650,1,0.98,-1.13,22642
724850,1,0.8,-0.94,32040
725050,1,0.68,-0.79,16272
725250,1,0.54,-0.7,61802
725450,0,N/A,N/A,N/A
725650,0,N/A,N/A,N/A
725850,0,N/A,N/A,N/A
726050,0,N/A,N/A,N/A
726250,1,0.52,-0.2,16381
726450,1,0.95,-1.33,101
726650,1,0.71,-0.75,6865
726850,0,N/A,N/A,N/A
727050,1,2.09,-3.84,100
727250,1,0.97,-1.28,5393
727450,1,0.73,-0.93,5274
727650,1,0.74,-1.24,3610
727850,1,0.72,-2.05,169
728050,1,0.43,-2.3,121
728250,1,0.02,-2.55,41
728450,1,2.23,-3.84,145
728650,1,1.36,-3.84,58
728850,0,N/A,N/A,N/A
729050,1,1.52,-3.84,50
729250,1,1.49,-3.77,144
729450,1,1.42,-3.73,101
729650,1,0.9,-2.24,30032
729850,1,0.65,-1.44,47225
730050,1,0.46,-1.15,23125
730250,0,N/A,N/A,N/A
730450,0,N/A,N/A,N/A
730650,0,N/A,N/A,N/A
730850,1,0.74,0.31,13221
731050,0,N/A,N/A,N/A
731250,1,0.99,0.29,16073
731450,1,0.87,0.19,6497
731650,1,0.87,0.13,4090
731850,1,0.95,-1.45,130
732050,1,0.83,-2.2,170
732250,1,0.45,-2.48,50
732450,0,N/A,N/A,N/A
732650,1,1.51,-3.84,49
732850,1,1.31,-3.8,153
733050,1,0.99,-3.72,136
733250,1,0.59,-3.66,100
733450,1,0.2,-3.59,153
733650,1,2.06,-3.84,137
733850,1,1.69,-3.8,116
734050,0,N/A,N/A,N/A
734250,0,N/A,N/A,N/A
734450,1,1.86,-3.83,130
734650,1,1.54,-3.79,153
734850,1,1.06,-3.76,52
735050,1,0.68,-3.68,125
735250,1,0.17,-3.64,178
735450,1,2.23,-3.84,170
735650,1,1.61,-3.84,45
735850,1,1.21,-3.76,136
736050,1,1,-3.67,117
736250,1,0.59,-3.59,180
736450,1,0.33,-3.52,49
736650,1,2.23,-3.84,164
736850,1,1.76,-3.81,137
737050,1,1.25,-3.79,185
737250,1,0.66,-3.76,40
737450,1,0.67,-2.05,4520
737650,0,N/A,N/A,N/A
737850,0,N/A,N/A,N/A
738050,0,N/A,N/A,N/A
738250,0,N/A,N/A,N/A
738450,0,N/A,N/A,N/A
738650,0,N/A,N/A,N/A
738850,1,0.74,-0.23,4386
739050,0,N/A,N/A,N/A
739250,0,N/A,N/A,N/A
739450,1,0.52,0,12325
739650,1,1.19,-1.86,125
739850,1,1.02,-1.9,109
740050,1,0.88,-2.31,121
740250,1,0.61,-2.06,6772
740450,1,0.24,-2.36,65
740650,1,2.26,-3.84,125
740850,1,1.38,-2.58,82
741050,1,1.28,-3.07,145
741250,1,0.9,-3.3,41
741450,1,0.44,-3.33,145
741650,0,N/A,N/A,N/A
741850,1,0.95,-1.94,3589
742050,1,1.09,-2.89,50
742250,1,0.86,-3.19,121
742450,1,0.56,-3.21,113
742650,1,0.43,-3.24,148
742850,1,0.24,-2.11,4329
743050,1,0.16,-1.37,18269
743250,1,0.14,-0.88,6554
743450,1,0.15,-0.56,4645
743650,1,0.18,-0.34,19501
743850,1,0.22,-0.19,46674
744050,1,0.26,-0.1,28162
744250,1,0.3,-0.04,4625
744450,1,0.34,-0.01,9320
744650,1,0.36,0,5085
744850,0,N/A,N/A,N/A
745050,1,1.3,-3.83,40
745250,1,0.93,-3.79,50
745450,1,0.55,-2.94,3898
745650,1,0.19,-2.33,6976
745850,1,2.23,-3.84,104
746050,1,1.79,-3.82,148
746250,1,1.52,-1.78,52
746450,1,1.31,-2.54,101
746650,1,0.96,-2.24,13634
746850,1,0.71,-1.49,23426
747050,1,0.57,-0.99,4945
747250,1,0.49,-0.66,51204
747450,1,0.46,-0.43,5096
747650,1,0.45,-0.27,55745
747850,1,0.47,-0.16,23357
748050,1,0.46,-0.11,52954
