Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
435650,1,1.5,-3.84,58.0
435850,1,1.12,-3.8,68.0
436050,1,0.62,-3.78,41.0
436250,1,0.8300000000000001,0.05,56.0
436450,1,1.04,-1.93,905.0
436650,1,0.89,-2.9,41.0
436850,1,0.57,-2.12,6452.0
437050,1,0.6233333333333333,0.09,56.0
437250,1,0.6766666666666666,0.08,60.0
437450,1,0.73,-0.17,53689.0
437650,1,0.7,0.04,82.0
437850,1,0.67,0.08,65.0
438050,1,0.64,0.08,83.0
438250,1,0.61,0.07,96.0
438450,1,0.5800000000000001,0.1,52.0
438650,1,0.55,0.07,100.0
438850,1,0.52,0.0,35498.0
439050,1,0.68,-1.3,45.0
439250,1,0.58,-0.7,28772.0
439450,1,0.53,-0.43,4880.0
439650,1,0.51,-0.28,10256.0
439850,1,0.5,-0.18,9620.0
440050,1,0.49,-0.12,7808.0
440250,1,1.49,-3.84,45.0
440450,1,1.12,-3.81,50.0
440650,1,0.56,-3.79,40.0
440850,1,0.34,-3.68,45.0
441050,1,0.8250000000000001,0.06,78.0
441250,1,1.31,-3.83,74.0
441450,1,0.96,-3.79,50.0
441650,1,0.48,-3.73,74.0
441850,1,0.725,0.06,75.0
442050,1,0.97,-1.93,22777.0
442250,1,0.66,-0.92,5525.0
442450,1,0.57,-0.54,16433.0
442650,1,0.53,-0.34,11050.0
442850,1,0.52,-0.22,19850.0
443050,1,0.56,-0.12,4105.0
443250,1,0.56,-0.09,3385.0
443450,1,1.31,-3.83,72.0
443650,1,0.93,-3.79,89.0
443850,1,0.57,-3.74,52.0
692850,1,0.59,0.0,29641.0
693050,1,0.62,0.01,12973.0
693250,1,0.65,0.01,12077.0
693450,1,0.67,0.02,1768.0
693650,1,0.69,0.02,970.0
693850,1,0.7,0.02,761.0
694050,1,1.6,-3.81,106.0
694250,1,1.33,-3.74,137.0
694450,1,2.19,-3.69,121.0
694650,1,1.6,-3.76,117.0
694850,1,1.31,-3.73,104.0
695050,1,0.73,-3.7,61.0
695250,1,0.57,-3.58,153.0
695450,1,0.28,-3.51,145.0
695650,1,1.52,-3.84,41.0
695850,1,1.0,-2.5,2293.0
696050,1,0.8,-2.82,173.0
696250,1,0.76,-3.11,121.0
696450,1,0.45,-3.14,125.0
696650,1,0.26,-3.22,52.0
696850,1,2.21,-3.84,122.0
697050,1,1.65,-3.83,145.0
697250,1,1.29,-3.78,45.0
697450,1,1.07,-3.69,185.0
697650,1,0.7,-3.64,104.0
697850,1,0.43,-3.55,153.0
698050,1,1.1500000000000001,0.09,70.0
698250,1,1.87,3.31,40.0
698450,1,1.17,0.99,11041.0
698650,1,1.05,0.52,22997.0
698850,1,1.06,0.41,13284.0
699050,1,0.9875,0.06,62.0
699250,1,0.915,0.08,60.0
699450,1,0.8425,0.1,88.0
699650,1,0.77,0.24,65033.0
699850,1,0.78,0.16,24712.0
700050,1,0.79,0.09,4594.0
700250,1,0.85,-0.56,2237.0
700450,1,0.8,-0.37,6280.0
700650,1,0.66,-0.94,193.0
700850,1,0.46,-1.44,116.0
701050,1,0.33,-2.09,116.0
701250,1,0.925,0.09,77.0
701450,1,1.52,-3.84,81.0
701650,1,1.12,-3.8,40.0
701850,1,0.96,-3.7,90.0
702050,1,0.83,-3.64,116.0
702250,1,0.7,-3.57,104.0
702450,1,0.48,-3.51,82.0
702650,1,0.29,-3.42,113.0
702850,1,2.23,-3.84,169.0
703050,1,1.74,-3.82,104.0
703250,1,1.39,-3.77,104.0
703450,1,1.02,-3.71,173.0
703650,1,0.7,-3.62,205.0
703850,1,0.34,-3.57,49.0
704050,1,2.23,-3.84,116.0
704250,1,1.82,-3.82,130.0
