Timestamp(ms),knull,X(m/s^2),Y(m/s^2),Z(m/s^2)
[2024-08-14 10:14:52.584] 103727, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.584] 103739, 0.63, 0.43, -9.45
[2024-08-14 10:14:52.584] 103751, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.584] 103763, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.584] 103775, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.584] 103787, 0.63, 0.35, -9.53
[2024-08-14 10:14:52.584] 103799, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.584] 103811, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.584] 103823, 0.63, 0.35, -9.41
[2024-08-14 10:14:52.584] 103835, 0.67, 0.43, -9.38
[2024-08-14 10:14:52.584] 103847, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.607] 103859, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.607] 103871, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.742] 103883, 0.67, 0.43, -9.41
[2024-08-14 10:14:52.742] 103895, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.742] 104894, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.742] 104906, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.742] 105894, 0.71, 0.35, -9.49
[2024-08-14 10:14:52.742] 105906, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.742] 106894, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.742] 106906, 0.67, 0.39, -9.53
[2024-08-14 10:14:52.742] 107894, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.742] 107906, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.742] 108894, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.742] 108906, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.752] 1098943, 0.35, -9.45
[2024-08-14 10:14:52.758] 109906, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.758] 113894, 0.63, 0.31, -9.45
[2024-08-14 10:14:52.832] 116058, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.832] 116070, 0.71, 0.35, -9.41
[2024-08-14 10:14:52.841] 116082, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.841] 116094, 0.71, 0.31, -9.49
[2024-08-14 10:14:52.906] 116106, 0.67, 0.31, -9.45
[2024-08-14 10:14:52.906] 116118, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.906] 116130, 0.71, 0.31, -9.45
[2024-08-14 10:14:52.906] 116142, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.919] 116154, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.919] 116166, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.925] 116178, 0.63, 0.39, -9.41
[2024-08-14 10:14:52.925] 116190, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.925] 116202, 0.67, 0.43, -9.49
[2024-08-14 10:14:52.930] 116214, 0.67, 0.43, -9.41
[2024-08-14 10:14:52.930] 116226, 0.71, 0.35, -9.45
[2024-08-14 10:14:53.000] 116238, 0.67, 0.39, -9.49
[2024-08-14 10:14:53.022] 116250, 0.67, 0.35, -9.41
[2024-08-14 10:14:53.022] 116262, 0.67, 0.39, -9.49
[2024-08-14 10:14:53.022] 116274, 0.67, 0.39, -9.38
[2024-08-14 10:14:53.022] 116286, 0.71, 0.31, -9.41
[2024-08-14 10:14:53.022] 116298, 0.67, 0.35, -9.45
[2024-08-14 10:14:53.022] 116310, 0.67, 0.35, -9.45
[2024-08-14 10:14:53.133] 116322, 0.63, 0.35, -9.41
[2024-08-14 10:14:53.149] 116334, 0.71, 0.35, -9.41
[2024-08-14 10:14:53.150] 116346, 0.67, 0.35, -9.45
[2024-08-14 10:14:53.150] 116358, 0.71, 0.35, -9.45
[2024-08-14 10:14:53.150] 116370, 0.67, 0.31, -9.49
[2024-08-14 10:14:53.150] 116382, 0.63, 0.35, -9.45
