Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:49.682,0.67,0.47,-9.41
2024-08-14 11:01:49.682,0.67,0.43,-9.34
2024-08-14 11:01:49.727,0.63,0.43,-9.41
2024-08-14 11:01:49.727,0.71,0.43,-9.41
2024-08-14 11:01:49.727,0.71,0.47,-9.45
2024-08-14 11:01:49.747,0.67,0.43,-9.41
2024-08-14 11:01:49.753,0.71,0.47,-9.45
2024-08-14 11:01:49.753,0.67,0.39,-9.38
2024-08-14 11:01:49.763,0.63,0.47,-9.41
2024-08-14 11:01:49.789,0.63,0.47,-9.49
2024-08-14 11:01:49.814,0.63,0.47,-9.49
2024-08-14 11:01:49.814,0.67,0.39,-9.45
2024-08-14 11:01:49.814,0.63,0.47,-9.41
2024-08-14 11:01:49.818,0.67,0.43,-9.41
2024-08-14 11:01:49.849,0.71,0.47,-9.41
2024-08-14 11:01:49.855,0.67,0.47,-9.41
2024-08-14 11:01:49.858,0.67,0.47,-9.41
2024-08-14 11:01:49.873,0.67,0.43,-9.45
2024-08-14 11:01:49.899,0.71,0.43,-9.38
2024-08-14 11:01:49.909,0.67,0.47,-9.45
2024-08-14 11:01:49.914,0.67,0.43,-9.45
2024-08-14 11:01:49.917,0.67,0.39,-9.49
2024-08-14 11:01:49.945,0.67,0.43,-9.45
2024-08-14 11:01:49.951,0.63,0.47,-9.45
2024-08-14 11:01:49.951,0.67,0.47,-9.49
2024-08-14 11:01:49.982,0.67,0.43,-9.41
2024-08-14 11:01:49.991,0.67,0.39,-9.41
2024-08-14 11:01:49.991,0.63,0.43,-9.45
2024-08-14 11:01:50.019,0.63,0.47,-9.41
2024-08-14 11:01:50.025,0.67,0.43,-9.41
2024-08-14 11:01:50.025,0.63,0.47,-9.38
2024-08-14 11:01:50.057,0.71,0.39,-9.45
2024-08-14 11:01:50.063,0.71,0.43,-9.41
2024-08-14 11:01:50.063,0.67,0.47,-9.45
2024-08-14 11:01:50.092,0.67,0.47,-9.41
2024-08-14 11:01:50.099,0.67,0.35,-9.45
2024-08-14 11:01:50.099,0.67,0.43,-9.49
2024-08-14 11:01:50.105,0.67,0.43,-9.41
2024-08-14 11:01:50.133,0.59,0.43,-9.45
2024-08-14 11:01:50.139,0.67,0.39,-9.41
2024-08-14 11:01:50.178,0.67,0.43,-9.49
2024-08-14 11:01:50.218,0.67,0.43,-9.41
2024-08-14 11:01:50.218,0.71,0.43,-9.41
2024-08-14 11:01:50.218,0.71,0.47,-9.38
2024-08-14 11:01:50.218,0.63,0.43,-9.41
2024-08-14 11:01:50.218,0.71,0.43,-9.41
2024-08-14 11:01:50.227,0.71,0.47,-9.45
2024-08-14 11:01:50.227,0.67,0.43,-9.45
2024-08-14 11:01:50.257,0.63,0.43,-9.45
2024-08-14 11:01:50.263,0.63,0.39,-9.41
2024-08-14 11:01:50.266,0.67,0.43,-9.41
2024-08-14 11:01:50.298,0.67,0.43,-9.41
2024-08-14 11:01:50.304,0.71,0.39,-9.41
2024-08-14 11:01:50.309,0.67,0.43,-9.41
2024-08-14 11:01:50.313,0.67,0.47,-9.45
2024-08-14 11:01:50.342,0.63,0.43,-9.41
2024-08-14 11:01:50.352,0.67,0.43,-9.41
2024-08-14 11:01:50.353,0.63,0.43,-9.41
2024-08-14 11:01:50.378,0.67,0.47,-9.45
2024-08-14 11:01:50.385,0.63,0.47,-9.45
2024-08-14 11:01:50.404,0.75,0.39,-9.41
2024-08-14 11:01:50.422,0.67,0.47,-9.38
2024-08-14 11:01:50.422,0.71,0.39,-9.45
2024-08-14 11:01:50.438,0.67,0.43,-9.41
2024-08-14 11:01:50.451,0.67,0.35,-9.41
2024-08-14 11:01:50.455,0.71,0.39,-9.41
2024-08-14 11:01:50.461,0.63,0.39,-9.49
2024-08-14 11:01:50.490,0.71,0.39,-9.45
2024-08-14 11:01:50.494,0.63,0.43,-9.45
2024-08-14 11:01:50.504,0.67,0.43,-9.45
2024-08-14 11:01:50.524,0.71,0.39,-9.49
2024-08-14 11:01:50.574,0.63,0.39,-9.41
2024-08-14 11:01:50.593,0.67,0.43,-9.41
2024-08-14 11:01:50.593,0.71,0.39,-9.41
2024-08-14 11:01:50.593,0.71,0.43,-9.41
2024-08-14 11:01:50.593,0.63,0.43,-9.41
2024-08-14 11:01:50.593,0.67,0.43,-9.41
2024-08-14 11:01:50.596,0.71,0.43,-9.41
2024-08-14 11:01:50.600,0.67,0.47,-9.41
2024-08-14 11:01:50.630,0.71,0.43,-9.38
2024-08-14 11:01:50.636,0.67,0.43,-9.41
2024-08-14 11:01:50.637,0.63,0.43,-9.45
2024-08-14 11:01:50.669,0.67,0.39,-9.45
2024-08-14 11:01:50.672,0.67,0.47,-9.38
2024-08-14 11:01:50.677,0.67,0.43,-9.45
2024-08-14 11:01:50.682,0.63,0.43,-9.45
2024-08-14 11:01:50.712,0.71,0.43,-9.38
2024-08-14 11:01:50.721,0.63,0.47,-9.41
2024-08-14 11:01:50.721,0.71,0.43,-9.45
2024-08-14 11:01:50.753,0.71,0.47,-9.38
2024-08-14 11:01:50.760,0.67,0.43,-9.45
2024-08-14 11:01:50.760,0.67,0.47,-9.49
2024-08-14 11:01:50.788,0.67,0.43,-9.45
2024-08-14 11:01:50.795,0.67,0.47,-9.41
2024-08-14 11:01:50.800,0.71,0.43,-9.41
2024-08-14 11:01:50.805,0.71,0.39,-9.41
2024-08-14 11:01:50.833,0.71,0.35,-9.41
2024-08-14 11:01:50.836,0.63,0.43,-9.45
2024-08-14 11:01:50.840,0.67,0.47,-9.41
2024-08-14 11:01:50.870,0.67,0.43,-9.41
2024-08-14 11:01:50.880,0.67,0.43,-9.45
2024-08-14 11:01:50.880,0.67,0.47,-9.38
2024-08-14 11:01:50.918,0.71,0.47,-9.45
2024-08-14 11:01:50.927,0.71,0.39,-9.45
2024-08-14 11:01:50.948,0.67,0.51,-9.45
2024-08-14 11:01:50.955,0.63,0.47,-9.41
2024-08-14 11:01:50.980,0.63,0.39,-9.45
2024-08-14 11:01:50.980,0.67,0.39,-9.41
