Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID,Label,Smoothed_Label
3050990,0.2,0.04,-9.53,Person_1,Static,Static
3051002,0.2,0.0,-9.53,Person_1,Static,Static
3051014,0.12,0.0,-9.53,Person_1,Static,Static
3051026,0.2,0.04,-9.53,Person_1,Static,Static
3051038,0.16,0.0,-9.57,Person_1,Static,Static
3051050,0.16,0.0,-9.57,Person_1,Static,Static
3051062,0.16,0.0,-9.53,Person_1,Static,Static
3051074,0.24,0.0,-9.49,Person_1,Static,Static
3051086,0.16,0.0,-9.57,Person_1,Static,Static
3051098,0.2,0.0,-9.53,Person_1,Static,Static
3051110,0.16,0.0,-9.49,Person_1,Static,Static
3051122,0.2,0.0,-9.49,Person_1,Static,Static
3051134,0.16,0.04,-9.53,Person_1,Static,Static
3051146,0.2,0.04,-9.53,Person_1,Static,Static
3051158,0.2,0.04,-9.57,Person_1,Static,Static
3051170,0.2,0.04,-9.57,Person_1,Static,Static
3051182,0.2,0.04,-9.53,Person_1,Static,Static
3051194,0.2,0.0,-9.57,Person_1,Static,Static
3051206,0.2,0.04,-9.53,Person_1,Static,Static
3051218,0.2,0.04,-9.57,Person_1,Static,Static
3051230,0.2,0.0,-9.61,Person_1,Static,Static
3051242,0.2,0.04,-9.49,Person_1,Static,Static
3051254,0.2,0.04,-9.49,Person_1,Static,Static
3051266,0.2,0.0,-9.53,Person_1,Static,Walking
3051278,0.2,0.04,-9.57,Person_1,Static,Walking
3051290,0.24,0.0,-9.49,Person_1,Static,Walking
3051302,0.2,0.0,-9.57,Person_1,Static,Walking
3051314,0.16,0.04,-9.49,Person_1,Walking,Walking
3051326,0.24,0.04,-9.96,Person_1,Walking,Walking
3051338,0.43,0.2,-10.04,Person_1,Walking,Walking
3051350,0.35,0.0,-10.2,Person_1,Walking,Walking
3051362,0.24,0.08,-9.41,Person_1,Walking,Walking
3051374,0.24,0.04,-9.92,Person_1,Walking,Walking
3051386,0.27,0.0,-10.0,Person_1,Walking,Walking
3051398,0.16,0.08,-9.34,Person_1,Walking,Walking
3051410,0.2,-0.08,-9.65,Person_1,Static,Walking
3051422,0.2,0.04,-9.49,Person_1,Static,Walking
3051434,0.2,0.0,-9.61,Person_1,Static,Walking
3051446,0.24,0.0,-9.53,Person_1,Static,Walking
3051458,0.16,0.0,-9.65,Person_1,Static,Walking
3051470,0.16,0.04,-9.53,Person_1,Static,Static
3051482,0.2,0.04,-9.57,Person_1,Static,Static
3051494,0.16,0.04,-9.45,Person_1,Static,Static
3051506,0.24,0.04,-9.53,Person_1,Static,Static
3051518,0.24,0.0,-9.53,Person_1,Static,Static
3051530,0.2,0.0,-9.45,Person_1,Static,Static
3051542,0.2,-0.04,-9.57,Person_1,Static,Static
3051554,0.2,0.0,-9.61,Person_1,Static,Static
3051566,0.24,0.04,-9.49,Person_1,Static,Static
3051578,0.16,0.0,-9.49,Person_1,Static,Static
3051590,0.2,0.04,-9.65,Person_1,Static,Static
3051602,0.16,0.04,-9.57,Person_1,Static,Static
3051614,0.2,0.04,-9.49,Person_1,Static,Static
3051626,0.16,0.0,-9.49,Person_1,Static,Static
3051638,0.2,0.0,-9.61,Person_1,Static,Static
3051650,0.16,0.0,-9.53,Person_1,Static,Static
3051662,0.2,0.04,-9.53,Person_1,Static,Static
3051674,0.2,0.04,-9.57,Person_1,Static,Static
3051686,0.2,0.0,-9.53,Person_1,Static,Static
3051698,0.16,0.0,-9.49,Person_1,Static,Static
