Timestamp,X(m/s^2),Y(m/s^2),Z(m/s^2),Label
2024-08-15 10:13:56.514,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:56.514,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.547,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:56.572,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:56.606,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.609,0.75,0.16,-9.49,Stationary
2024-08-15 10:13:56.615,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:56.621,0.63,0.12,-9.45,Stationary
2024-08-15 10:13:56.621,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:56.621,0.71,0.12,-9.38,Stationary
2024-08-15 10:13:56.629,0.67,0.24,-9.45,Stationary
2024-08-15 10:13:56.653,0.75,0.16,-9.41,Stationary
2024-08-15 10:13:56.695,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:56.698,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:56.731,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:56.731,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.737,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:56.737,0.67,0.08,-9.49,Stationary
2024-08-15 10:13:56.737,0.71,0.12,-9.53,Stationary
2024-08-15 10:13:56.742,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:56.742,0.67,0.16,-9.49,Stationary
2024-08-15 10:13:56.756,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:56.766,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:56.796,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:56.835,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:56.835,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:56.841,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:56.842,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:56.842,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:56.869,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:56.872,0.75,0.16,-9.45,Stationary
2024-08-15 10:13:56.878,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.885,0.67,0.08,-9.49,Stationary
2024-08-15 10:13:56.915,0.67,0.12,-9.38,Stationary
2024-08-15 10:13:56.918,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:56.925,0.75,0.2,-9.41,Stationary
2024-08-15 10:13:56.955,0.75,0.16,-9.45,Stationary
