Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2),state
[2024-08-15 10:17:13.480] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.481] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.513] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.519] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.519] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.532] 0.67, 0.12, -9.38, Stationary
[2024-08-15 10:17:13.549] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.565] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.569] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.597] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.602] 0.71, 0.16, -9.38, Stationary
[2024-08-15 10:17:13.602] 0.67, 0.12, -9.38, Stationary
[2024-08-15 10:17:13.629] 0.75, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.640] 0.75, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.640] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.678] 0.67, 0.12, -9.38, Stationary
[2024-08-15 10:17:13.729] 0.75, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.741] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.743] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.747] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.747] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.753] 0.71, 0.20, -9.41, Stationary
[2024-08-15 10:17:13.756] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.759] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.759] 0.63, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.767] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.787] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.802] 0.67, 0.12, -9.53, Stationary
[2024-08-15 10:17:13.802] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.838] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.850] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.850] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:13.854] 0.75, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.862] 0.67, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.882] 0.67, 0.20, -9.49, Stationary
[2024-08-15 10:17:13.900] 0.71, 0.20, -9.41, Stationary
[2024-08-15 10:17:13.903] 0.71, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.911] 0.75, 0.12, -9.41, Stationary
[2024-08-15 10:17:13.929] 0.75, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.944] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:13.949] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:13.979] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:13.983] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:13.986] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:14.017] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:14.044] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:14.051] 0.75, 0.12, -9.45, Stationary
[2024-08-15 10:17:14.051] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:14.058] 0.71, 0.12, -9.41, Stationary
[2024-08-15 10:17:14.058] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:14.088] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:14.088] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:14.088] 0.63, 0.12, -9.49, Stationary
[2024-08-15 10:17:14.102] 0.71, 0.08, -9.49, Stationary
[2024-08-15 10:17:14.113] 0.71, 0.08, -9.49, Stationary
[2024-08-15 10:17:14.151] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:14.152] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:14.152] 0.71, 0.20, -9.49, Stationary
[2024-08-15 10:17:14.185] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:14.190] 0.71, 0.16, -9.53, Stationary
